year,week,week_type,team1_name,team1_score,team2_name,team2_score,winner,scraped_at
2022,5,regular,Scrubs,129.14,Maggi's Mighty Ducks,104.78,Scrubs,2025-12-13T17:03:01.119640
2022,5,regular,Rats,118.28,The Brotherhood,71.96,Rats,2025-12-13T17:03:01.120066
2022,5,regular,Wolfpack,155.86,Mebs Militia,77.06,Wolfpack,2025-12-13T17:03:01.120488
2022,6,regular,Palm Beach Pelicans,88.7,The Generous,130.24,The Generous,2025-12-13T17:03:01.580664
2022,6,regular,cheeseheads,85.58,DirtyBirds,81.04,cheeseheads,2025-12-13T17:03:01.581563
2022,6,regular,Killer Cam,114.02,Scrubs,72.92,Killer Cam,2025-12-13T17:03:01.581993
2022,6,regular,Woody,75.9,Rats,114.42,Rats,2025-12-13T17:03:01.582421
2022,6,regular,Maggi's Mighty Ducks,149.7,Wolfpack,103.86,Maggi's Mighty Ducks,2025-12-13T17:03:01.582850
2022,6,regular,The Brotherhood,144.98,Mebs Militia,122.62,The Brotherhood,2025-12-13T17:03:01.583276
2022,7,regular,The Generous,74.32,DirtyBirds,115.26,DirtyBirds,2025-12-13T17:03:02.032129
2022,7,regular,Scrubs,131.4,Palm Beach Pelicans,144.54,Palm Beach Pelicans,2025-12-13T17:03:02.033074
2022,7,regular,Rats,141.72,cheeseheads,92.56,Rats,2025-12-13T17:03:02.033503
2022,7,regular,Wolfpack,128.84,Killer Cam,108.62,Wolfpack,2025-12-13T17:03:02.033931
2022,7,regular,Mebs Militia,109.94,Woody,102.6,Mebs Militia,2025-12-13T17:03:02.034355
2022,7,regular,The Brotherhood,111.28,Maggi's Mighty Ducks,101.62,The Brotherhood,2025-12-13T17:03:02.034780
2022,8,regular,Scrubs,212.44,The Generous,139.96,Scrubs,2025-12-13T17:03:02.534987
2022,8,regular,DirtyBirds,133.12,Rats,120.14,DirtyBirds,2025-12-13T17:03:02.535760
2022,8,regular,Palm Beach Pelicans,122.28,Wolfpack,79.68,Palm Beach Pelicans,2025-12-13T17:03:02.536123
2022,8,regular,cheeseheads,78.74,Mebs Militia,139.58,Mebs Militia,2025-12-13T17:03:02.536481
2022,8,regular,Killer Cam,95.72,The Brotherhood,129.7,The Brotherhood,2025-12-13T17:03:02.536838
2022,8,regular,Woody,150.22,Maggi's Mighty Ducks,162.9,Maggi's Mighty Ducks,2025-12-13T17:03:02.537196
2022,9,regular,The Generous,106.0,Rats,135.44,Rats,2025-12-13T17:03:02.994035
2022,9,regular,Wolfpack,103.1,Scrubs,106.72,Scrubs,2025-12-13T17:03:02.995052
2022,9,regular,Mebs Militia,163.98,DirtyBirds,145.14,Mebs Militia,2025-12-13T17:03:02.995475
2022,9,regular,The Brotherhood,104.8,Palm Beach Pelicans,82.44,The Brotherhood,2025-12-13T17:03:02.995897
2022,9,regular,Maggi's Mighty Ducks,118.52,cheeseheads,129.8,cheeseheads,2025-12-13T17:03:02.996342
2022,9,regular,Woody,117.82,Killer Cam,76.6,Woody,2025-12-13T17:03:02.996767
2022,10,regular,Wolfpack,110.5,The Generous,119.58,The Generous,2025-12-13T17:03:03.427431
2022,10,regular,Rats,106.84,Mebs Militia,102.9,Rats,2025-12-13T17:03:03.427962
2022,10,regular,Scrubs,144.38,The Brotherhood,78.0,Scrubs,2025-12-13T17:03:03.428214
2022,10,regular,DirtyBirds,114.3,Maggi's Mighty Ducks,90.9,DirtyBirds,2025-12-13T17:03:03.428464
2022,10,regular,Palm Beach Pelicans,143.3,Woody,161.02,Woody,2025-12-13T17:03:03.428715
2022,10,regular,cheeseheads,142.58,Killer Cam,93.44,cheeseheads,2025-12-13T17:03:03.428968
2022,11,regular,The Generous,74.6,Mebs Militia,88.28,Mebs Militia,2025-12-13T17:03:03.894532
2022,11,regular,The Brotherhood,110.04,Wolfpack,149.88,Wolfpack,2025-12-13T17:03:03.895469
2022,11,regular,Maggi's Mighty Ducks,107.3,Rats,108.26,Rats,2025-12-13T17:03:03.895904
2022,11,regular,Woody,98.12,Scrubs,89.52,Woody,2025-12-13T17:03:03.896358
2022,11,regular,Killer Cam,103.9,DirtyBirds,82.92,Killer Cam,2025-12-13T17:03:03.896797
2022,11,regular,cheeseheads,113.04,Palm Beach Pelicans,161.1,Palm Beach Pelicans,2025-12-13T17:03:03.897226
2022,12,regular,The Brotherhood,112.94,The Generous,105.98,The Brotherhood,2025-12-13T17:03:04.346350
2022,12,regular,Mebs Militia,95.56,Maggi's Mighty Ducks,115.72,Maggi's Mighty Ducks,2025-12-13T17:03:04.347457
2022,12,regular,Wolfpack,165.52,Woody,130.66,Wolfpack,2025-12-13T17:03:04.347978
2022,12,regular,Rats,71.3,Killer Cam,139.36,Killer Cam,2025-12-13T17:03:04.348498
2022,12,regular,Scrubs,112.54,cheeseheads,125.04,cheeseheads,2025-12-13T17:03:04.349021
2022,12,regular,DirtyBirds,83.92,Palm Beach Pelicans,136.2,Palm Beach Pelicans,2025-12-13T17:03:04.349527
2022,13,regular,The Generous,87.82,Maggi's Mighty Ducks,151.4,Maggi's Mighty Ducks,2025-12-13T17:03:04.782888
2022,13,regular,Woody,115.94,The Brotherhood,96.1,Woody,2025-12-13T17:03:04.783989
2022,13,regular,Killer Cam,101.0,Mebs Militia,97.8,Killer Cam,2025-12-13T17:03:04.784531
2022,13,regular,cheeseheads,155.48,Wolfpack,125.72,cheeseheads,2025-12-13T17:03:04.785088
2022,13,regular,Palm Beach Pelicans,135.34,Rats,85.72,Palm Beach Pelicans,2025-12-13T17:03:04.785606
2022,13,regular,DirtyBirds,110.18,Scrubs,118.26,Scrubs,2025-12-13T17:03:04.786121
